127.0.0.1 - - [21/Jan/2013:18:42:18 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 26461
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:13 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:15 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:16 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 11525
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:16 -0300] "GET /ControlArt/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:16 -0300] "GET /ControlArt/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:23 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 11307
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:24 -0300] "GET /ControlArt/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:24 -0300] "GET /ControlArt/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:28 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 17170
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:28 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:28 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:28 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:28 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:28 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:29 -0300] "GET /ControlArt/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 26461
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:29 -0300] "GET /ControlArt/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:29 -0300] "GET /ControlArt/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:29 -0300] "GET /ControlArt/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:37 -0300] "POST /ControlArt/pages/pessoa.art HTTP/1.1" 200 6296
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:44:05 -0300] "POST /ControlArt/pages/pessoa.art HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:44:05 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:44:05 -0300] "GET /ControlArt/javax.faces.resource/login.css.art?ln=css HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:44:05 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:44:05 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:44:05 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:44:05 -0300] "GET /ControlArt/javax.faces.resource/spacer/dot_clear.gif.art?ln=primefaces HTTP/1.1" 304 -
