127.0.0.1 - - [02/Apr/2013:21:11:11 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/spacer/dot_clear.gif.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/favicon.ico.art?ln=image HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/images/ui-icons-light.png.art?ln=primefaces-afterwork HTTP/1.1" 200 22713
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:06 -0300] "POST /Controlart_Web/pages/acervo.art HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "POST /Controlart_Web/pages/acervo.art HTTP/1.1" 200 14265
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/theme.css.art?ln=primefaces-afterwork HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/alterarSenha.css.art?ln=css HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 10468
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/favicon.ico.art?ln=image HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:10 -0300] "GET /Controlart_Web/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "POST /Controlart_Web/pages/alterarSenha.art HTTP/1.1" 200 26333
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/theme.css.art?ln=primefaces-afterwork HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/usuarios.css.art?ln=css HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 10468
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/favicon.ico.art?ln=image HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/spacer/dot_clear.gif.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:13 -0300] "GET /Controlart_Web/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:15 -0300] "POST /Controlart_Web/pages/usuarios.art HTTP/1.1" 200 7945
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:17 -0300] "POST /Controlart_Web/pages/usuarios.art HTTP/1.1" 200 7452
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:22 -0300] "POST /Controlart_Web/pages/usuarios.art HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:30 -0300] "POST /Controlart_Web/pages/usuarios.art HTTP/1.1" 200 11937
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:30 -0300] "GET /Controlart_Web/javax.faces.resource/theme.css.art?ln=primefaces-afterwork HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:30 -0300] "GET /Controlart_Web/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:30 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
